feature,group
consistency_native_web_model_ua_strength,Native-Web
consistency_native_web_model_ua_match,Native-Web
consistency_native_web_android_version_match,Native-Web
consistency_native_web_android_version_delta,Native-Web
consistency_native_web_screen_width_error_ratio,Native-Web
consistency_native_web_screen_height_error_ratio,Native-Web
consistency_native_web_screen_max_error_ratio,Native-Web
consistency_native_web_screen_score,Native-Web
consistency_native_web_screen_consistent_10pct,Native-Web
consistency_native_web_cpu_platform_match,Native-Web
consistency_native_web_cpu_platform_known,Native-Web
consistency_native_web_gpu_family_score,Native-Web
consistency_native_web_gpu_family_match,Native-Web
consistency_native_web_gpu_software_or_desktop,Native-Web
consistency_native_web_touch_mobile_match,Native-Web
consistency_native_web_memory_delta_gb,Native-Web
consistency_native_web_memory_score,Native-Web
consistency_native_web_desktop_or_bot_ua,Native-Web
consistency_native_webview_agent_model_match,Native-WebView
consistency_native_webview_agent_android_version_match,Native-WebView
consistency_native_webview_agent_android_version_delta,Native-WebView
consistency_native_webview_bridge_injected,Native-WebView
consistency_native_webview_package_expected,Native-WebView
consistency_native_webview_installer_official_like,Native-WebView
consistency_native_webview_installer_manual,Native-WebView
consistency_native_webview_debug_cleartext_tension,Native-WebView
consistency_webview_web_chrome_major_match,WebView-Web
consistency_webview_web_chrome_major_delta,WebView-Web
consistency_webview_web_ua_has_wv_token,WebView-Web
consistency_webview_web_bridge_mobile_runtime_match,WebView-Web
consistency_webview_web_non_browser_ua,WebView-Web
consistency_tri_layer_core_integrity_pass,Tri-layer semantic
consistency_tri_layer_sensor_bridge_fail,Tri-layer semantic
consistency_tri_layer_manual_timezone_or_adb,Tri-layer semantic
consistency_tri_layer_adb_full_battery_signal,Tri-layer semantic
consistency_tri_layer_official_installer_core_pass,Tri-layer semantic
consistency_tri_layer_mean_match_score,Tri-layer semantic
consistency_tri_layer_failure_count,Tri-layer semantic
