brand_group,device_count,share_percent
VIVO,129,12.12
OPPO,119,11.18
荣耀(HONOR),107,10.06
三星(SAMSUNG),74,6.95
小米(Xiaomi),73,6.86
红米(Redmi),73,6.86
华为(HUAWEI),53,4.98
iQOO(VIVO),47,4.42
SAMSUNG(三星),40,3.76
一加(OnePlus),37,3.48
Realme(真我),32,3.01
HUAWEI(华为),26,2.44
魅族(Meizu),26,2.44
Xiaomi(小米),25,2.35
努比亚(nubia),15,1.41
联想(Lenovo),15,1.41
LG,14,1.32
SONY(索尼),12,1.13
索尼(SONY),12,1.13
谷歌(Google),12,1.13
中兴(ZTE),8,0.75
锤子(Smartisan),7,0.66
ASUS(华硕),6,0.56
HTC,6,0.56
黑鲨(BlackShark),6,0.56
360,5,0.47
MOTO(摩托罗拉),5,0.47
TECNO(传音),5,0.47
诺基亚(Nokia),5,0.47
酷派(Coolpad),5,0.47
Civi(小米),4,0.38
Nokia(诺基亚),4,0.38
OnePlus(一加),4,0.38
UMIDIGI(优米),4,0.38
摩托罗拉(moto),4,0.38
海信(Hisense),4,0.38
AGM,3,0.28
SHARP(夏普),3,0.28
朵唯(DOOV),3,0.28
科大讯飞,3,0.28
TCL,2,0.19
lnfinix(传音),2,0.19
中国电信,2,0.19
中国移动,2,0.19
乐视(LeEco),2,0.19
华硕(ASUS),2,0.19
夏普(SHARP),2,0.19
BLU,1,0.09
DOOGEE (道格),1,0.09
Google,1,0.09
Redmi(红米),1,0.09
SUGAR(糖果),1,0.09
VETAS(维塔斯),1,0.09
YOTA,1,0.09
itel(传音),1,0.09
outikel,1,0.09
vivo,1,0.09
中国联通,1,0.09
小辣椒,1,0.09
美图(meitu),1,0.09
飞利浦(PHILIPS),1,0.09
黑莓(BlackBerry),1,0.09
