platform,counting_rule,brand,origin,model_count,platform_total,share_percent
WeTest,wetest_page_machine_rows,HUAWEI,国产,109,382,28.53
WeTest,wetest_page_machine_rows,vivo,国产,88,382,23.04
WeTest,wetest_page_machine_rows,Xiaomi,国产,46,382,12.04
WeTest,wetest_page_machine_rows,OPPO,国产,44,382,11.52
WeTest,wetest_page_machine_rows,HONOR,国产,33,382,8.64
WeTest,wetest_page_machine_rows,Samsung,非国产,17,382,4.45
WeTest,wetest_page_machine_rows,realme,国产,13,382,3.40
WeTest,wetest_page_machine_rows,OnePlus,国产,11,382,2.88
WeTest,wetest_page_machine_rows,Google,非国产,5,382,1.31
WeTest,wetest_page_machine_rows,ASUS,非国产,4,382,1.05
WeTest,wetest_page_machine_rows,BlackShark,国产,4,382,1.05
WeTest,wetest_page_machine_rows,(未标注),未标注,3,382,0.79
WeTest,wetest_page_machine_rows,ZTE,国产,3,382,0.79
WeTest,wetest_page_machine_rows,MEIZU,国产,2,382,0.52
Sauce Labs,unique_model_number,Samsung,非国产,81,106,76.42
Sauce Labs,unique_model_number,Google,非国产,23,106,21.70
Sauce Labs,unique_model_number,Xiaomi,国产,2,106,1.89
